TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [Pacific Time (US and Canada) Tijuana],Computer,RawData,SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],TIMESERIES_UTC_t [Pacific Time (US and Canada) Tijuana],ALERT_DETAILS_s,ALERT_ID_s,ALERT_TIME_s,PROVIDER_INSTANCE_s,RATING_s,RECOMMENDATION_s,SAPMON_VERSION_s,Time_Generated_t [Pacific Time (US and Canada) Tijuana],_SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],_TIMESERIES_UTC_t [Pacific Time (US and Canada) Tijuana],sapsid_s,Type,_ResourceId
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 9:38:05.545 PM",,,"4/17/2026, 9:38:05.192 PM","4/17/2026, 9:28:42.015 PM","vchadcha01l10c: disk 2 (/hana/log/CHA/) has a disk usage of 95.2%. Total disk size: 383.8 GB, used disk size 365.368 GB, storage type: LOG, previous percentage usage 95.2%",2,18-04-2026 04:28,CHA-HANA,MEDIUM,,4.0.260223.125026,"4/17/2026, 9:38:05.198 PM","4/17/2026, 9:38:05.192 PM","4/17/2026, 9:28:42.015 PM",CHA,SapHana_Alerts_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 9:38:05.545 PM",,,"4/17/2026, 9:38:05.192 PM","4/17/2026, 9:33:42.013 PM","vchadcha01l10c: disk 2 (/hana/log/CHA/) has a disk usage of 95.2%. Total disk size: 383.8 GB, used disk size 365.368 GB, storage type: LOG, previous percentage usage 95.2%",2,18-04-2026 04:33,CHA-HANA,MEDIUM,"Investigate disk usage of processes. Increase disk space, for example by shrinking volumes, deleting diagnosis files, or adding additional storage. See SAP Note 1900643.",4.0.260223.125026,"4/17/2026, 9:38:05.198 PM","4/17/2026, 9:38:05.192 PM","4/17/2026, 9:33:42.013 PM",CHA,SapHana_Alerts_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 10:38:04.251 PM",,,"4/17/2026, 10:38:03.317 PM","4/17/2026, 10:28:42.014 PM","vchadcha01l10c: disk 2 (/hana/log/CHA/) has a disk usage of 95.2%. Total disk size: 383.8 GB, used disk size 365.368 GB, storage type: LOG, previous percentage usage 95.2%",2,18-04-2026 05:28,CHA-HANA,MEDIUM,,4.0.260223.125026,"4/17/2026, 10:38:03.328 PM","4/17/2026, 10:38:03.317 PM","4/17/2026, 10:28:42.014 PM",CHA,SapHana_Alerts_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 10:38:04.251 PM",,,"4/17/2026, 10:38:03.317 PM","4/17/2026, 10:33:42.014 PM","vchadcha01l10c: disk 2 (/hana/log/CHA/) has a disk usage of 95.2%. Total disk size: 383.8 GB, used disk size 365.368 GB, storage type: LOG, previous percentage usage 95.2%",2,18-04-2026 05:33,CHA-HANA,MEDIUM,"Investigate disk usage of processes. Increase disk space, for example by shrinking volumes, deleting diagnosis files, or adding additional storage. See SAP Note 1900643.",4.0.260223.125026,"4/17/2026, 10:38:03.328 PM","4/17/2026, 10:38:03.317 PM","4/17/2026, 10:33:42.014 PM",CHA,SapHana_Alerts_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:38:04.374 PM",,,"4/17/2026, 11:38:03.760 PM","4/17/2026, 11:28:42.014 PM","vchadcha01l10c: disk 2 (/hana/log/CHA/) has a disk usage of 95.2%. Total disk size: 383.8 GB, used disk size 365.368 GB, storage type: LOG, previous percentage usage 95.2%",2,18-04-2026 06:28,CHA-HANA,MEDIUM,,4.0.260223.125026,"4/17/2026, 11:38:03.791 PM","4/17/2026, 11:38:03.760 PM","4/17/2026, 11:28:42.014 PM",CHA,SapHana_Alerts_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:38:04.374 PM",,,"4/17/2026, 11:38:03.760 PM","4/17/2026, 11:33:42.015 PM","vchadcha01l10c: disk 2 (/hana/log/CHA/) has a disk usage of 95.2%. Total disk size: 383.8 GB, used disk size 365.368 GB, storage type: LOG, previous percentage usage 95.2%",2,18-04-2026 06:33,CHA-HANA,MEDIUM,"Investigate disk usage of processes. Increase disk space, for example by shrinking volumes, deleting diagnosis files, or adding additional storage. See SAP Note 1900643.",4.0.260223.125026,"4/17/2026, 11:38:03.791 PM","4/17/2026, 11:38:03.760 PM","4/17/2026, 11:33:42.015 PM",CHA,SapHana_Alerts_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 1:38:05.105 AM",,,"4/18/2026, 1:38:04.730 AM","4/18/2026, 1:28:42.014 AM","vchadcha01l10c: disk 2 (/hana/log/CHA/) has a disk usage of 95.2%. Total disk size: 383.8 GB, used disk size 365.368 GB, storage type: LOG, previous percentage usage 95.2%",2,18-04-2026 08:28,CHA-HANA,MEDIUM,,4.0.260223.125026,"4/18/2026, 1:38:04.738 AM","4/18/2026, 1:38:04.730 AM","4/18/2026, 1:28:42.014 AM",CHA,SapHana_Alerts_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 1:38:05.105 AM",,,"4/18/2026, 1:38:04.730 AM","4/18/2026, 1:33:42.015 AM","vchadcha01l10c: disk 2 (/hana/log/CHA/) has a disk usage of 95.2%. Total disk size: 383.8 GB, used disk size 365.368 GB, storage type: LOG, previous percentage usage 95.2%",2,18-04-2026 08:33,CHA-HANA,MEDIUM,"Investigate disk usage of processes. Increase disk space, for example by shrinking volumes, deleting diagnosis files, or adding additional storage. See SAP Note 1900643.",4.0.260223.125026,"4/18/2026, 1:38:04.738 AM","4/18/2026, 1:38:04.730 AM","4/18/2026, 1:33:42.015 AM",CHA,SapHana_Alerts_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 5:38:04.891 AM",,,"4/18/2026, 5:38:04.081 AM","4/18/2026, 5:28:42.015 AM","vchadcha01l10c: disk 2 (/hana/log/CHA/) has a disk usage of 95.2%. Total disk size: 383.8 GB, used disk size 365.368 GB, storage type: LOG, previous percentage usage 95.2%",2,18-04-2026 12:28,CHA-HANA,MEDIUM,,4.0.260223.125026,"4/18/2026, 5:38:04.092 AM","4/18/2026, 5:38:04.081 AM","4/18/2026, 5:28:42.015 AM",CHA,SapHana_Alerts_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 5:38:04.891 AM",,,"4/18/2026, 5:38:04.081 AM","4/18/2026, 5:33:42.015 AM","vchadcha01l10c: disk 2 (/hana/log/CHA/) has a disk usage of 95.2%. Total disk size: 383.8 GB, used disk size 365.368 GB, storage type: LOG, previous percentage usage 95.2%",2,18-04-2026 12:33,CHA-HANA,MEDIUM,"Investigate disk usage of processes. Increase disk space, for example by shrinking volumes, deleting diagnosis files, or adding additional storage. See SAP Note 1900643.",4.0.260223.125026,"4/18/2026, 5:38:04.092 AM","4/18/2026, 5:38:04.081 AM","4/18/2026, 5:33:42.015 AM",CHA,SapHana_Alerts_CL,
