TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [Pacific Time (US and Canada) Tijuana],Computer,RawData,SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],ALLOCATION_LIMIT_MB_d,DATABASE_NAME_s,DATA_SOURCE_s,FREE_MEMORY_SIZE_MB_d,HEAP_MEMORY_ALLOCATED_SIZE_MB_d,HEAP_MEMORY_USED_SIZE_MB_d,LOGICAL_MEMORY_SIZE_MB_d,PERCENTAGE_HEAP_USED_MEMORY_d,PERCENTAGE_USED_MEMORY_d,PHYSICAL_MEMORY_SIZE_MB_d,PORT_d,PROVIDER_INSTANCE_s,SAPMON_VERSION_s,SERVICE_NAME_s,SNAPSHOT_TIME_t [Pacific Time (US and Canada) Tijuana],TOTAL_MEMORY_USED_SIZE_MB_d,Time_Generated_t [Pacific Time (US and Canada) Tijuana],_SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],sapsid_s,Type,_ResourceId
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 3:48:04.560 AM",,,"4/18/2026, 3:48:04.119 AM",993358.1476,SYSTEMDB,CURRENT,35421.9557,48156.02483,7825.37054,51967.78701,16.25,1.1659,47608.48794,30001,CHA-HANA,4.0.260223.125026,nameserver,"4/18/2026, 3:48:04.119 AM",11582.34872,"4/18/2026, 3:48:04.120 AM","4/18/2026, 3:48:04.119 AM",CHA,SapHana_HighMemoryUsageService_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 3:48:04.560 AM",,,"4/18/2026, 3:48:04.119 AM",993358.1476,,CURRENT,12688.76024,13136.54784,242.899119,13767.2704,1.849,0.0849,740.446208,30002,CHA-HANA,4.0.260223.125026,preprocessor,"4/18/2026, 3:48:04.119 AM",843.397295,"4/18/2026, 3:48:04.120 AM","4/18/2026, 3:48:04.119 AM",CHA,SapHana_HighMemoryUsageService_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 3:48:04.560 AM",,,"4/18/2026, 3:48:04.119 AM",993358.1476,CHA,CURRENT,115489.2411,197206.1839,76235.66979,206922.9036,38.6578,8.6455,202056.3804,30003,CHA-HANA,4.0.260223.125026,indexserver,"4/18/2026, 3:48:04.119 AM",85881.332,"4/18/2026, 3:48:04.121 AM","4/18/2026, 3:48:04.119 AM",CHA,SapHana_HighMemoryUsageService_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 3:48:04.560 AM",,,"4/18/2026, 3:48:04.119 AM",993358.1476,CHA,CURRENT,11947.00832,14970.13453,2717.465917,18111.90989,18.1525,0.583,3755.880448,30004,CHA-HANA,4.0.260223.125026,scriptserver,"4/18/2026, 3:48:04.119 AM",5791.522109,"4/18/2026, 3:48:04.121 AM","4/18/2026, 3:48:04.119 AM",CHA,SapHana_HighMemoryUsageService_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 3:48:04.560 AM",,,"4/18/2026, 3:48:04.119 AM",993358.1476,,CURRENT,12461.14362,13113.11872,459.802314,14494.36774,3.5064,0.1807,896.155648,30006,CHA-HANA,4.0.260223.125026,webdispatcher,"4/18/2026, 3:48:04.119 AM",1795.704522,"4/18/2026, 3:48:04.121 AM","4/18/2026, 3:48:04.119 AM",CHA,SapHana_HighMemoryUsageService_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 3:48:04.560 AM",,,"4/18/2026, 3:48:04.119 AM",993358.1476,CHA,CURRENT,16107.17758,17609.8304,1193.746727,21012.97562,6.7788,0.4556,6215.860224,30007,CHA-HANA,4.0.260223.125026,xsengine,"4/18/2026, 3:48:04.119 AM",4526.719271,"4/18/2026, 3:48:04.121 AM","4/18/2026, 3:48:04.119 AM",CHA,SapHana_HighMemoryUsageService_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 3:48:04.560 AM",,,"4/18/2026, 3:48:04.119 AM",993358.1476,,CURRENT,12720.46845,13112.22989,208.16153,13472.09626,1.5875,0.0542,1097.129984,30010,CHA-HANA,4.0.260223.125026,compileserver,"4/18/2026, 3:48:04.119 AM",539.34361,"4/18/2026, 3:48:04.121 AM","4/18/2026, 3:48:04.119 AM",CHA,SapHana_HighMemoryUsageService_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 3:48:04.560 AM",,,"4/18/2026, 3:48:04.119 AM",993358.1476,CHA,CURRENT,16378.93554,17887.38765,1203.719274,21126.36928,6.7294,0.4401,6835.130368,30011,CHA-HANA,4.0.260223.125026,dpserver,"4/18/2026, 3:48:04.119 AM",4372.663402,"4/18/2026, 3:48:04.121 AM","4/18/2026, 3:48:04.119 AM",CHA,SapHana_HighMemoryUsageService_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 3:48:04.560 AM",,,"4/18/2026, 3:48:04.119 AM",993358.1476,CHA,CURRENT,12687.5267,13089.77971,230.315385,14475.53843,1.7595,0.1584,666.591232,30025,CHA-HANA,4.0.260223.125026,diserver,"4/18/2026, 3:48:04.119 AM",1573.729657,"4/18/2026, 3:48:04.121 AM","4/18/2026, 3:48:04.119 AM",CHA,SapHana_HighMemoryUsageService_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 3:48:04.560 AM",,,"4/18/2026, 3:48:04.119 AM",993358.1476,CHA,CURRENT,65294.57693,68846.01037,3097.891163,72172.31872,4.4997,0.6396,59361.49299,30040,CHA-HANA,4.0.260223.125026,docstore,"4/18/2026, 3:48:04.119 AM",6354.383195,"4/18/2026, 3:48:04.121 AM","4/18/2026, 3:48:04.119 AM",CHA,SapHana_HighMemoryUsageService_CL,
