TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [Pacific Time (US and Canada) Tijuana],Computer,RawData,SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],FAILOVER_ACTUAL_GROUP_s,FAILOVER_CONFIG_GROUP_s,FAILOVER_GROUP_s,FAILOVER_STATUS_s,HOST_s,HOST_ACTIVE_s,HOST_ACTUAL_ROLES_s,HOST_CONFIG_ROLES_s,HOST_STATUS_s,INDEXSERVER_ACTUAL_ROLE_s,INDEXSERVER_CONFIG_ROLE_s,IP_s,NAMESERVER_ACTUAL_ROLE_s,NAMESERVER_CONFIG_ROLE_s,PROVIDER_INSTANCE_s,REMOVE_STATUS_s,SAPMON_VERSION_s,STORAGE_ACTUAL_PARTITION_d,STORAGE_CONFIG_PARTITION_d,STORAGE_PARTITION_d,Time_Generated_t [Pacific Time (US and Canada) Tijuana],WORKER_ACTUAL_GROUPS_s,WORKER_CONFIG_GROUPS_s,_SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],sapsid_s,Type,_ResourceId
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 5:48:05.148 AM",,,"4/18/2026, 5:48:04.664 AM",default,default,default,,vchadcha01l10c,YES,WORKER,WORKER,OK,MASTER,WORKER,10.8.0.20,MASTER,MASTER 1,CHA-HANA,,4.0.260223.125026,1,1,1,"4/18/2026, 5:48:04.684 AM",default,default,"4/18/2026, 5:48:04.664 AM",CHA,SapHana_HostConfig_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 5:55:05.737 AM",,,"4/18/2026, 5:55:04.980 AM",default,default,default,,vchadcha01l10c,YES,WORKER,WORKER,OK,MASTER,WORKER,10.8.0.20,MASTER,MASTER 1,CHA-HANA,,4.0.260223.125026,1,1,1,"4/18/2026, 5:55:04.980 AM",default,default,"4/18/2026, 5:55:04.980 AM",CHA,SapHana_HostConfig_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 6:00:06.072 AM",,,"4/18/2026, 6:00:05.427 AM",default,default,default,,vchadcha01l10c,YES,WORKER,WORKER,OK,MASTER,WORKER,10.8.0.20,MASTER,MASTER 1,CHA-HANA,,4.0.260223.125026,1,1,1,"4/18/2026, 6:00:05.431 AM",default,default,"4/18/2026, 6:00:05.427 AM",CHA,SapHana_HostConfig_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 6:01:04.228 AM",,,"4/18/2026, 6:01:03.860 AM",default,default,default,,vchadcha01l10c,YES,WORKER,WORKER,OK,MASTER,WORKER,10.8.0.20,MASTER,MASTER 1,CHA-HANA,,4.0.260223.125026,1,1,1,"4/18/2026, 6:01:03.864 AM",default,default,"4/18/2026, 6:01:03.860 AM",CHA,SapHana_HostConfig_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 6:04:05.075 AM",,,"4/18/2026, 6:04:04.795 AM",default,default,default,,vchadcha01l10c,YES,WORKER,WORKER,OK,MASTER,WORKER,10.8.0.20,MASTER,MASTER 1,CHA-HANA,,4.0.260223.125026,1,1,1,"4/18/2026, 6:04:04.799 AM",default,default,"4/18/2026, 6:04:04.795 AM",CHA,SapHana_HostConfig_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 6:08:04.624 AM",,,"4/18/2026, 6:08:04.027 AM",default,default,default,,vchadcha01l10c,YES,WORKER,WORKER,OK,MASTER,WORKER,10.8.0.20,MASTER,MASTER 1,CHA-HANA,,4.0.260223.125026,1,1,1,"4/18/2026, 6:08:04.023 AM",default,default,"4/18/2026, 6:08:04.027 AM",CHA,SapHana_HostConfig_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 6:10:06.673 AM",,,"4/18/2026, 6:10:05.797 AM",default,default,default,,vchadcha01l10c,YES,WORKER,WORKER,OK,MASTER,WORKER,10.8.0.20,MASTER,MASTER 1,CHA-HANA,,4.0.260223.125026,1,1,1,"4/18/2026, 6:10:05.811 AM",default,default,"4/18/2026, 6:10:05.797 AM",CHA,SapHana_HostConfig_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 6:12:04.207 AM",,,"4/18/2026, 6:12:03.667 AM",default,default,default,,vchadcha01l10c,YES,WORKER,WORKER,OK,MASTER,WORKER,10.8.0.20,MASTER,MASTER 1,CHA-HANA,,4.0.260223.125026,1,1,1,"4/18/2026, 6:12:03.672 AM",default,default,"4/18/2026, 6:12:03.667 AM",CHA,SapHana_HostConfig_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 6:13:04.229 AM",,,"4/18/2026, 6:13:03.908 AM",default,default,default,,vchadcha01l10c,YES,WORKER,WORKER,OK,MASTER,WORKER,10.8.0.20,MASTER,MASTER 1,CHA-HANA,,4.0.260223.125026,1,1,1,"4/18/2026, 6:13:03.910 AM",default,default,"4/18/2026, 6:13:03.908 AM",CHA,SapHana_HostConfig_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 6:14:04.035 AM",,,"4/18/2026, 6:14:03.390 AM",default,default,default,,vchadcha01l10c,YES,WORKER,WORKER,OK,MASTER,WORKER,10.8.0.20,MASTER,MASTER 1,CHA-HANA,,4.0.260223.125026,1,1,1,"4/18/2026, 6:14:03.565 AM",default,default,"4/18/2026, 6:14:03.390 AM",CHA,SapHana_HostConfig_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 5:49:04.412 AM",,,"4/18/2026, 5:49:04.139 AM",default,default,default,,vchadcha01l10c,YES,WORKER,WORKER,OK,MASTER,WORKER,10.8.0.20,MASTER,MASTER 1,CHA-HANA,,4.0.260223.125026,1,1,1,"4/18/2026, 5:49:04.141 AM",default,default,"4/18/2026, 5:49:04.139 AM",CHA,SapHana_HostConfig_CL,
