TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [Pacific Time (US and Canada) Tijuana],Computer,RawData,SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],HOST_s,KEY_s,PROVIDER_INSTANCE_s,SAPMON_VERSION_s,Time_Generated_t [Pacific Time (US and Canada) Tijuana],VALUE_s,_SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],sapsid_s,Type,_ResourceId
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,active,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.793 PM",yes,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,cpu.cpuidle.intel_idle.max_cstate,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.793 PM",9,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,hw_manufacturer,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.793 PM",Microsoft Corporation,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,cpu_flags,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.793 PM",fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology tsc_reliable nonstop_tsc cpuid aperfmperf pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single fsgsbase tsc_adjust bmi1 hle avx2 smep bmi2 erms invpcid rtm avx512f avx512dq rdseed adx smap avx512ifma clflushopt clwb avx512cd sha_ni avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx_vnni avx512_bf16 avx512vbmi umip waitpkg avx512_vbmi2 gfni vaes vpclmulqdq avx512_vnni avx512_bitalg avx512_vpopcntdq la57 rdpid cldemote movdiri movdir64b fsrm serialize tsxldtrk avx512_fp16 amx_tile arch_capabilities,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,cpu_sockets,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.793 PM",2,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,net.ipv4.tcp_wmem,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.793 PM",4096 16384 4194304,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,timezone_base_name,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.793 PM",UTC,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,build_weekstone,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.793 PM",0000.00.0,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,cpu_summary,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.793 PM", (48) * 2121MHz,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,net.ipv4.tcp_syn_retries,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.793 PM",8,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
