TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [Pacific Time (US and Canada) Tijuana],Computer,RawData,SERVER_LOCALTIME_t [Pacific Time (US and Canada) Tijuana],SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],TIMESERIES_UTC_t [Pacific Time (US and Canada) Tijuana],CPU_d,DISK_SIZE_d,DISK_USED_d,HOST_s,MEMORY_ALLOCATION_LIMIT_d,MEMORY_RESIDENT_d,MEMORY_SIZE_d,MEMORY_TOTAL_RESIDENT_d,MEMORY_USED_d,NETWORK_OUT_d,PROVIDER_INSTANCE_s,SAPMON_VERSION_s,SCOPE_s,Time_Generated_t [Pacific Time (US and Canada) Tijuana],_SERVER_LOCALTIME_t [Pacific Time (US and Canada) Tijuana],_SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],_TIMESERIES_UTC_t [Pacific Time (US and Canada) Tijuana],sapsid_s,NETWORK_IN_d,Type,_ResourceId
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 6:16:05.032 AM",,,"4/18/2026, 6:15:13.914 AM","4/18/2026, 6:16:04.652 AM","4/18/2026, 6:15:13.914 AM",3,895.53,710.73,vchadcha01l10c,947340.15,313983.5,981654.93,260372.07,99090.83,-1,CHA-HANA,4.0.260223.125026,HOST,"4/18/2026, 6:16:04.755 AM","4/18/2026, 6:15:13.914 AM","4/18/2026, 6:16:04.652 AM","4/18/2026, 6:15:13.914 AM",CHA,,SapHana_LoadHistory_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 6:16:05.032 AM",,,"4/18/2026, 6:15:23.986 AM","4/18/2026, 6:16:04.652 AM","4/18/2026, 6:15:23.986 AM",3,895.53,710.73,vchadcha01l10c,947340.15,313983.5,981654.93,260372.07,99091.02,1.4,CHA-HANA,4.0.260223.125026,HOST,"4/18/2026, 6:16:04.755 AM","4/18/2026, 6:15:23.986 AM","4/18/2026, 6:16:04.652 AM","4/18/2026, 6:15:23.986 AM",CHA,0.61,SapHana_LoadHistory_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 6:16:05.032 AM",,,"4/18/2026, 6:15:34.055 AM","4/18/2026, 6:16:04.652 AM","4/18/2026, 6:15:34.055 AM",2,895.53,710.73,vchadcha01l10c,947340.15,313983.5,981654.93,260372.07,99105.89,0.16,CHA-HANA,4.0.260223.125026,HOST,"4/18/2026, 6:16:04.755 AM","4/18/2026, 6:15:34.055 AM","4/18/2026, 6:16:04.652 AM","4/18/2026, 6:15:34.055 AM",CHA,0.09,SapHana_LoadHistory_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 6:16:05.032 AM",,,"4/18/2026, 6:15:44.128 AM","4/18/2026, 6:16:04.652 AM","4/18/2026, 6:15:44.128 AM",1,895.53,710.73,vchadcha01l10c,947340.15,313983.5,981654.93,260372.07,99091.52,0.2,CHA-HANA,4.0.260223.125026,HOST,"4/18/2026, 6:16:04.755 AM","4/18/2026, 6:15:44.128 AM","4/18/2026, 6:16:04.652 AM","4/18/2026, 6:15:44.128 AM",CHA,0.04,SapHana_LoadHistory_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 6:16:05.032 AM",,,"4/18/2026, 6:15:54.199 AM","4/18/2026, 6:16:04.652 AM","4/18/2026, 6:15:54.199 AM",0,895.53,710.73,vchadcha01l10c,947340.15,313983.5,981654.93,260372.07,99091.47,0.07,CHA-HANA,4.0.260223.125026,HOST,"4/18/2026, 6:16:04.755 AM","4/18/2026, 6:15:54.199 AM","4/18/2026, 6:16:04.652 AM","4/18/2026, 6:15:54.199 AM",CHA,0.03,SapHana_LoadHistory_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 6:16:05.032 AM",,,"4/18/2026, 6:16:04.268 AM","4/18/2026, 6:16:04.652 AM","4/18/2026, 6:16:04.268 AM",1,895.53,710.73,vchadcha01l10c,947340.15,313983.5,981654.93,260372.07,99104.55,0.12,CHA-HANA,4.0.260223.125026,HOST,"4/18/2026, 6:16:04.755 AM","4/18/2026, 6:16:04.268 AM","4/18/2026, 6:16:04.652 AM","4/18/2026, 6:16:04.268 AM",CHA,0.11,SapHana_LoadHistory_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 6:17:04.557 AM",,,"4/18/2026, 6:16:14.339 AM","4/18/2026, 6:17:04.086 AM","4/18/2026, 6:16:14.339 AM",1,895.53,710.73,vchadcha01l10c,947340.15,313983.5,981654.93,260372.07,99064.79,-1,CHA-HANA,4.0.260223.125026,HOST,"4/18/2026, 6:17:04.215 AM","4/18/2026, 6:16:14.339 AM","4/18/2026, 6:17:04.086 AM","4/18/2026, 6:16:14.339 AM",CHA,,SapHana_LoadHistory_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 6:17:04.557 AM",,,"4/18/2026, 6:16:24.413 AM","4/18/2026, 6:17:04.086 AM","4/18/2026, 6:16:24.413 AM",1,895.53,710.73,vchadcha01l10c,947340.15,313983.5,981654.93,260372.07,99066.82,4.7,CHA-HANA,4.0.260223.125026,HOST,"4/18/2026, 6:17:04.215 AM","4/18/2026, 6:16:24.413 AM","4/18/2026, 6:17:04.086 AM","4/18/2026, 6:16:24.413 AM",CHA,1.93,SapHana_LoadHistory_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 6:17:04.557 AM",,,"4/18/2026, 6:16:34.484 AM","4/18/2026, 6:17:04.086 AM","4/18/2026, 6:16:34.484 AM",1,895.53,710.73,vchadcha01l10c,947340.15,313983.5,981654.93,260372.07,99067.7,0.12,CHA-HANA,4.0.260223.125026,HOST,"4/18/2026, 6:17:04.215 AM","4/18/2026, 6:16:34.484 AM","4/18/2026, 6:17:04.086 AM","4/18/2026, 6:16:34.484 AM",CHA,0.05,SapHana_LoadHistory_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/18/2026, 6:17:04.557 AM",,,"4/18/2026, 6:16:44.558 AM","4/18/2026, 6:17:04.086 AM","4/18/2026, 6:16:44.558 AM",1,895.53,710.73,vchadcha01l10c,947340.15,313984.63,981654.93,260372.07,99068.86,0.29,CHA-HANA,4.0.260223.125026,HOST,"4/18/2026, 6:17:04.215 AM","4/18/2026, 6:16:44.558 AM","4/18/2026, 6:17:04.086 AM","4/18/2026, 6:16:44.558 AM",CHA,0.03,SapHana_LoadHistory_CL,
