TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [Pacific Time (US and Canada) Tijuana],Computer,RawData,SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],NAME_s,PROVIDER_INSTANCE_s,SAPMON_VERSION_s,SECTION_s,STATUS_s,Time_Generated_t [Pacific Time (US and Canada) Tijuana],VALUE_s,_SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],sapsid_s,Type,_ResourceId
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/15/2026, 5:15:06.079 PM",,,"4/15/2026, 5:15:05.226 PM",Instance ID,CHA-HANA,4.0.260223.125026,System,,"4/15/2026, 5:15:05.296 PM",CHA,"4/15/2026, 5:15:05.226 PM",CHA,SapHana_SystemOverview_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/15/2026, 5:15:06.079 PM",,,"4/15/2026, 5:15:05.226 PM",Instance Number,CHA-HANA,4.0.260223.125026,System,,"4/15/2026, 5:15:05.296 PM",0,"4/15/2026, 5:15:05.226 PM",CHA,SapHana_SystemOverview_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/15/2026, 5:15:06.079 PM",,,"4/15/2026, 5:15:05.226 PM",Distributed,CHA-HANA,4.0.260223.125026,System,,"4/15/2026, 5:15:05.296 PM",No,"4/15/2026, 5:15:05.226 PM",CHA,SapHana_SystemOverview_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/15/2026, 5:15:06.079 PM",,,"4/15/2026, 5:15:05.226 PM",Version,CHA-HANA,4.0.260223.125026,System,,"4/15/2026, 5:15:05.296 PM",2.00.077.00.1713529394 (fa/hana2sp07),"4/15/2026, 5:15:05.226 PM",CHA,SapHana_SystemOverview_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/15/2026, 5:15:06.079 PM",,,"4/15/2026, 5:15:05.226 PM",Platform,CHA-HANA,4.0.260223.125026,System,,"4/15/2026, 5:15:05.296 PM",SUSE Linux Enterprise Server 15 SP5,"4/15/2026, 5:15:05.226 PM",CHA,SapHana_SystemOverview_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/15/2026, 5:15:06.079 PM",,,"4/15/2026, 5:15:05.226 PM",All Started,CHA-HANA,4.0.260223.125026,Services,OK,"4/15/2026, 5:15:05.296 PM",Yes,"4/15/2026, 5:15:05.226 PM",CHA,SapHana_SystemOverview_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/15/2026, 5:15:06.079 PM",,,"4/15/2026, 5:15:05.226 PM",Min Start Time,CHA-HANA,4.0.260223.125026,Services,,"4/15/2026, 5:15:05.296 PM",15:13.0,"4/15/2026, 5:15:05.226 PM",CHA,SapHana_SystemOverview_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/15/2026, 5:15:06.079 PM",,,"4/15/2026, 5:15:05.226 PM",Max Start Time,CHA-HANA,4.0.260223.125026,Services,,"4/15/2026, 5:15:05.296 PM",12:30.5,"4/15/2026, 5:15:05.226 PM",CHA,SapHana_SystemOverview_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/15/2026, 5:15:06.079 PM",,,"4/15/2026, 5:15:05.226 PM",Memory,CHA-HANA,4.0.260223.125026,Memory,OK,"4/15/2026, 5:15:05.296 PM","Physical 958.65 GB, Swap 2.00 GB, Used 247.77","4/15/2026, 5:15:05.226 PM",CHA,SapHana_SystemOverview_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/15/2026, 5:15:06.079 PM",,,"4/15/2026, 5:15:05.226 PM",CPU,CHA-HANA,4.0.260223.125026,CPU,OK,"4/15/2026, 5:15:05.296 PM","Available 48, Used 0.00","4/15/2026, 5:15:05.226 PM",CHA,SapHana_SystemOverview_CL,
