TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [Pacific Time (US and Canada) Tijuana],Computer,RawData,SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],DATABASE_NAME_s,ESTIMATED_MAX_MEMORY_SIZE_IN_TOTAL_GIB_d,MEMORY_SIZE_IN_TOTAL_GIB_d,PARTITION_COUNT_d,PROVIDER_INSTANCE_s,RECORDS_d,SAPMON_VERSION_s,SYSTEM_ID_s,TABLE_NAME_s,Time_Generated_t [Pacific Time (US and Canada) Tijuana],_SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],sapsid_s,Type,_ResourceId
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:48:05.433 PM",,,"4/17/2026, 11:48:04.797 PM",SYSTEMDB,0.953,0.962,340,CHA-HANA,720163,4.0.260223.125026,CHA,ALL_TABLES,"4/17/2026, 11:48:04.873 PM","4/17/2026, 11:48:04.797 PM",CHA,SapHana_size01_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:48:05.433 PM",,,"4/17/2026, 11:48:04.797 PM",SYSTEMDB,0.88,0.941,1,CHA-HANA,82078,4.0.260223.125026,CHA,ACTIVE_OBJECT,"4/17/2026, 11:48:04.873 PM","4/17/2026, 11:48:04.797 PM",CHA,SapHana_size01_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:48:05.433 PM",,,"4/17/2026, 11:48:04.797 PM",SYSTEMDB,0.015,0,1,CHA-HANA,2,4.0.260223.125026,CHA,ACTIVATION_HELPER2,"4/17/2026, 11:48:04.873 PM","4/17/2026, 11:48:04.797 PM",CHA,SapHana_size01_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:48:05.433 PM",,,"4/17/2026, 11:48:04.797 PM",SYSTEMDB,0.007,0.008,1,CHA-HANA,122592,4.0.260223.125026,CHA,HOST_SERVICE_MEMORY_BASE,"4/17/2026, 11:48:04.873 PM","4/17/2026, 11:48:04.797 PM",CHA,SapHana_size01_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:48:05.433 PM",,,"4/17/2026, 11:48:04.797 PM",SYSTEMDB,0.004,0.004,1,CHA-HANA,397101,4.0.260223.125026,CHA,HOST_SERVICE_THREAD_CALLSTACKS_BASE,"4/17/2026, 11:48:04.873 PM","4/17/2026, 11:48:04.797 PM",CHA,SapHana_size01_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:48:05.433 PM",,,"4/17/2026, 11:48:04.797 PM",SYSTEMDB,0.003,0.003,1,CHA-HANA,30648,4.0.260223.125026,CHA,HOST_RESOURCE_UTILIZATION_STATISTICS_BASE,"4/17/2026, 11:48:04.873 PM","4/17/2026, 11:48:04.797 PM",CHA,SapHana_size01_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:48:05.433 PM",,,"4/17/2026, 11:48:04.797 PM",SYSTEMDB,0.003,0,1,CHA-HANA,0,4.0.260223.125026,CHA,INACTIVE_CONTENT_TEXT_CONTENT,"4/17/2026, 11:48:04.873 PM","4/17/2026, 11:48:04.797 PM",CHA,SapHana_size01_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:48:05.433 PM",,,"4/17/2026, 11:48:04.797 PM",SYSTEMDB,0.003,0,1,CHA-HANA,0,4.0.260223.125026,CHA,INACTIVE_CONTENT_TEXT,"4/17/2026, 11:48:04.873 PM","4/17/2026, 11:48:04.797 PM",CHA,SapHana_size01_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:48:05.433 PM",,,"4/17/2026, 11:48:04.797 PM",SYSTEMDB,0.002,0,1,CHA-HANA,8438,4.0.260223.125026,CHA,ACTIVE_CONTENT_TEXT,"4/17/2026, 11:48:04.873 PM","4/17/2026, 11:48:04.797 PM",CHA,SapHana_size01_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:48:05.433 PM",,,"4/17/2026, 11:48:04.797 PM",SYSTEMDB,0.002,0.001,1,CHA-HANA,8438,4.0.260223.125026,CHA,ACTIVE_CONTENT_TEXT_CONTENT,"4/17/2026, 11:48:04.873 PM","4/17/2026, 11:48:04.797 PM",CHA,SapHana_size01_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:48:05.433 PM",,,"4/17/2026, 11:48:04.797 PM",SYSTEMDB,0.002,0.001,1,CHA-HANA,6129,4.0.260223.125026,CHA,HOST_SERVICE_REPLICATION_BASE,"4/17/2026, 11:48:04.873 PM","4/17/2026, 11:48:04.797 PM",CHA,SapHana_size01_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:48:05.817 PM",,,"4/17/2026, 5:48:04.857 PM",SYSTEMDB,0.952,0.962,340,CHA-HANA,713372,4.0.260223.125026,CHA,ALL_TABLES,"4/17/2026, 5:48:04.939 PM","4/17/2026, 5:48:04.857 PM",CHA,SapHana_size01_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:48:05.817 PM",,,"4/17/2026, 5:48:04.857 PM",SYSTEMDB,0.88,0.941,1,CHA-HANA,82078,4.0.260223.125026,CHA,ACTIVE_OBJECT,"4/17/2026, 5:48:04.939 PM","4/17/2026, 5:48:04.857 PM",CHA,SapHana_size01_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:48:05.817 PM",,,"4/17/2026, 5:48:04.857 PM",SYSTEMDB,0.015,0,1,CHA-HANA,2,4.0.260223.125026,CHA,ACTIVATION_HELPER2,"4/17/2026, 5:48:04.939 PM","4/17/2026, 5:48:04.857 PM",CHA,SapHana_size01_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:48:05.817 PM",,,"4/17/2026, 5:48:04.857 PM",SYSTEMDB,0.007,0.007,1,CHA-HANA,121152,4.0.260223.125026,CHA,HOST_SERVICE_MEMORY_BASE,"4/17/2026, 5:48:04.939 PM","4/17/2026, 5:48:04.857 PM",CHA,SapHana_size01_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:48:05.817 PM",,,"4/17/2026, 5:48:04.857 PM",SYSTEMDB,0.004,0.004,1,CHA-HANA,392614,4.0.260223.125026,CHA,HOST_SERVICE_THREAD_CALLSTACKS_BASE,"4/17/2026, 5:48:04.939 PM","4/17/2026, 5:48:04.857 PM",CHA,SapHana_size01_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:48:05.817 PM",,,"4/17/2026, 5:48:04.857 PM",SYSTEMDB,0.003,0.003,1,CHA-HANA,30288,4.0.260223.125026,CHA,HOST_RESOURCE_UTILIZATION_STATISTICS_BASE,"4/17/2026, 5:48:04.939 PM","4/17/2026, 5:48:04.857 PM",CHA,SapHana_size01_CL,
